loss_D_fake,loss_D_real,loss_D,loss_G_GAN,loss_G_L1,loss_G
0.52523,0.57207,0.54865,1.28394,9.97622,11.26016
0.42596,0.45085,0.43840,1.67116,9.79595,11.46712
0.43961,0.46634,0.45297,1.65043,9.89478,11.54521
0.43726,0.46698,0.45212,1.67138,10.04535,11.71673
0.44248,0.46991,0.45619,1.66184,10.22593,11.88777
0.44333,0.47516,0.45924,1.64833,10.33848,11.98681
0.44499,0.47836,0.46167,1.63427,10.44481,12.07908
0.44880,0.48356,0.46618,1.62823,10.56515,12.19338
0.45350,0.49075,0.47212,1.61220,10.63012,12.24231
0.50149,0.56551,0.53350,1.35446,11.18551,12.53996
0.49418,0.54455,0.51936,1.41247,11.17920,12.59167
0.49270,0.54611,0.51941,1.41931,11.09951,12.51882
0.49637,0.55100,0.52369,1.40003,11.16221,12.56224
0.49414,0.55238,0.52326,1.41352,11.21503,12.62856
0.49421,0.55649,0.52535,1.40580,11.20807,12.61386
0.49706,0.56143,0.52924,1.39312,11.22586,12.61898
0.49663,0.56149,0.52906,1.39026,11.26153,12.65179
0.49949,0.56469,0.53209,1.38187,11.23538,12.61725
0.50877,0.58492,0.54685,1.28913,11.22724,12.51638
0.49889,0.57346,0.53618,1.33188,11.12913,12.46101
0.49430,0.57801,0.53615,1.33142,11.09045,12.42188
0.49929,0.57456,0.53693,1.33787,11.17233,12.51019
0.49753,0.57477,0.53615,1.34051,11.24306,12.58357
0.49638,0.57419,0.53528,1.33708,11.23581,12.57289
0.49759,0.57428,0.53593,1.33665,11.23904,12.57569
0.49603,0.57406,0.53504,1.33504,11.28044,12.61547
0.49683,0.57329,0.53506,1.33213,11.25657,12.58870
0.50151,0.57332,0.53742,1.29349,11.17292,12.46640
0.48891,0.56700,0.52795,1.33740,11.09493,12.43233
0.49342,0.57898,0.53620,1.32181,11.05311,12.37493
0.50414,0.57967,0.54191,1.30521,11.12239,12.42760
0.50317,0.57800,0.54058,1.31295,11.18100,12.49395
0.50061,0.57791,0.53926,1.31172,11.18531,12.49702
0.50205,0.58157,0.54181,1.30722,11.20090,12.50811
0.49732,0.57810,0.53771,1.30801,11.23715,12.54516
0.49787,0.57882,0.53835,1.30865,11.22249,12.53115
0.50251,0.58352,0.54302,1.26516,11.19610,12.46126
0.48887,0.57243,0.53065,1.33145,11.05543,12.38688
0.48812,0.57773,0.53293,1.31290,11.00209,12.31499
0.49918,0.58022,0.53970,1.30220,11.06690,12.36911
0.49464,0.57868,0.53666,1.30754,11.13241,12.43996
0.49603,0.58057,0.53830,1.31104,11.14117,12.45221
0.49584,0.58063,0.53823,1.30798,11.15650,12.46447
0.49486,0.57891,0.53688,1.30666,11.18974,12.49639
0.49507,0.57816,0.53662,1.30574,11.16633,12.47207
0.51531,0.59005,0.55268,1.29610,11.14656,12.44266
0.49714,0.57506,0.53610,1.33030,10.99690,12.32720
0.49714,0.58051,0.53882,1.30608,10.96515,12.27123
0.50292,0.57571,0.53932,1.29973,11.02261,12.32234
0.49923,0.57097,0.53510,1.30753,11.09056,12.39808
0.50053,0.57758,0.53906,1.30685,11.11590,12.42275
0.49951,0.57387,0.53669,1.31329,11.11915,12.43243
0.49813,0.57476,0.53644,1.30849,11.16047,12.46897
0.49808,0.57397,0.53603,1.30730,11.14166,12.44896
0.49821,0.57880,0.53850,1.32650,11.09432,12.42082
0.48271,0.57211,0.52741,1.34619,10.95911,12.30530
0.48630,0.57496,0.53063,1.32548,10.90562,12.23110
0.49788,0.57374,0.53581,1.32065,10.98529,12.30594
0.49705,0.57206,0.53455,1.32210,11.05180,12.37389
0.49892,0.57644,0.53768,1.32432,11.06717,12.39149
0.49842,0.57478,0.53660,1.32275,11.06678,12.38952
0.49605,0.57324,0.53464,1.31968,11.10368,12.42336
0.49704,0.57395,0.53549,1.31804,11.08630,12.40434
0.49374,0.57543,0.53459,1.31816,11.08515,12.40331
0.47447,0.57158,0.52302,1.35677,10.96772,12.32449
0.47870,0.56798,0.52334,1.33555,10.89908,12.23463
0.49492,0.57279,0.53386,1.32231,10.95336,12.27567
0.49191,0.56926,0.53058,1.32501,11.01101,12.33602
0.49408,0.57388,0.53398,1.32392,11.03491,12.35884
0.49405,0.57259,0.53332,1.32394,11.03981,12.36375
0.49507,0.57398,0.53453,1.32888,11.08483,12.41371
0.49462,0.57171,0.53317,1.32979,11.05437,12.38415
0.49162,0.57404,0.53283,1.33216,11.00756,12.33971
0.47315,0.56500,0.51907,1.35277,10.88979,12.24256
0.47779,0.56432,0.52106,1.33333,10.83846,12.17179
0.48379,0.56283,0.52331,1.32135,10.87982,12.20117
0.48963,0.56531,0.52747,1.33075,10.94241,12.27317
0.48965,0.56929,0.52947,1.33523,10.96137,12.29660
0.48956,0.56842,0.52899,1.33474,10.97031,12.30506
0.48762,0.56680,0.52721,1.33926,11.01543,12.35469
0.48758,0.56830,0.52794,1.33819,10.98895,12.32714
0.50836,0.57796,0.54316,1.31656,10.98756,12.30412
0.47787,0.56305,0.52046,1.35489,10.82446,12.17935
0.47591,0.55531,0.51561,1.34281,10.76066,12.10347
0.48900,0.55733,0.52317,1.33317,10.83363,12.16680
0.49002,0.56152,0.52577,1.33450,10.89103,12.22553
0.48891,0.56275,0.52583,1.34268,10.90795,12.25062
0.48826,0.56343,0.52585,1.34562,10.91773,12.26334
0.48905,0.56399,0.52652,1.34656,10.95503,12.30159
0.49017,0.56524,0.52770,1.34225,10.92664,12.26890
0.52095,0.59233,0.55664,1.31595,10.88770,12.20365
0.49158,0.58110,0.53634,1.35540,10.79053,12.14593
0.49305,0.57401,0.53353,1.32581,10.74094,12.06675
0.49672,0.57059,0.53365,1.31620,10.79203,12.10823
0.50022,0.57253,0.53638,1.31766,10.83115,12.14881
0.49930,0.57430,0.53680,1.31610,10.84896,12.16506
0.49790,0.57361,0.53575,1.31688,10.85682,12.17370
0.49584,0.57126,0.53355,1.31906,10.89205,12.21112
0.49699,0.57200,0.53450,1.31652,10.87174,12.18826
0.53404,0.60070,0.56737,1.31591,10.92022,12.23613
0.50623,0.58988,0.54806,1.36134,10.78652,12.14786
0.50098,0.57872,0.53985,1.33782,10.70123,12.03905
0.50458,0.57489,0.53974,1.32067,10.75339,12.07406
0.50058,0.57091,0.53574,1.32414,10.79468,12.11882
0.50025,0.57380,0.53702,1.33291,10.81076,12.14367
0.49859,0.57422,0.53640,1.33589,10.80182,12.13772
0.49380,0.56805,0.53092,1.33946,10.82843,12.16788
0.49644,0.57019,0.53332,1.33294,10.81064,12.14358
0.52669,0.58940,0.55805,1.34052,10.73942,12.07994
0.49644,0.57414,0.53529,1.36605,10.60036,11.96641
0.50062,0.57638,0.53850,1.34117,10.58296,11.92414
0.50315,0.57058,0.53687,1.32777,10.61943,11.94720
0.49919,0.56399,0.53159,1.33484,10.65625,11.99108
0.49489,0.56579,0.53034,1.34556,10.67306,12.01862
0.49468,0.56787,0.53128,1.35036,10.67799,12.02834
0.49123,0.56340,0.52732,1.35347,10.71305,12.06652
0.49430,0.56535,0.52982,1.35032,10.69711,12.04743
0.51702,0.57718,0.54710,1.30460,10.61197,11.91657
